Designator,Mid X,Mid Y,Rotation,Layer
C1,80.25,-77.0,270.0,top
C10,171.0,-116.5,270.0,top
C11,169.55,-108.8,180.0,top
C12,169.55,-95.4,180.0,top
C2,80.25,-127.550004,270.0,top
C3,183.0,-74.0,90.0,top
C4,183.5,-131.0,270.0,top
C5,161.0,-75.0,90.0,top
C6,145.0,-122.75,270.0,top
C7,150.3,-81.15,270.0,top
C8,156.0,-129.55,90.0,top
C9,170.75,-88.25,270.0,top
D1,86.0,-102.1,270.0,top
D2,79.0,-102.08,90.0,top
D3,96.0,-102.1,270.0,top
D4,103.5,-102.1,90.0,top
D5,93.5,-59.0,0.0,top
D6,93.0,-145.0,180.0,top
D7,166.0,-81.2,270.0,top
D8,160.5,-127.2,270.0,top
H2,205.5,-72.0,270.0,top
H3,205.5,-133.0,270.0,top
IC1,157.77,-79.7,90.0,top
IC2,149.23,-124.5,270.0,top
J1,69.55,-102.0,270.0,top
J2,205.5,-102.0,90.0,top
J3,191.13,-104.19,0.0,top
Q1,120.775,-79.4,270.0,top
Q2,120.875,-124.8,270.0,top
Q3,164.99,-84.97,180.0,top
Q4,157.0625,-122.45,0.0,top
R1,161.7,-81.2,90.0,top
R2,161.7,-85.5875,90.0,top
R3,158.5,-126.9125,90.0,top
R4,160.775,-122.4,270.0,top
R5,99.0,-75.9,270.0,top
R6,107.0,-72.0,270.0,top
R7,99.0,-128.5,90.0,top
R8,107.0,-130.94,90.0,top
R9,185.1,-92.7875,270.0,top
RV+1,178.9,-95.2,0.0,top
RV-1,179.0,-110.305,0.0,top
U1,170.5,-102.04,90.0,top
U2,125.0,-124.8,90.0,top
U3,125.0,-79.4,270.0,top
U4,153.5,-79.4,90.0,top
U5,153.5,-124.8,90.0,top
